SatPRN,GPSTime,Sat.X,Sat.Y,Sat.Z,Pseudo-Range,CN0,Pos.X,Pos.Y,Pos.Z,Lat,Lon,Alt
G16,2024-05-06 18:25:02.599145+00:00,1693909.1652946733,24067170.99513839,-10915289.107473645,23532061.349255014,51.5,4717233.153055938,2873981.766367298,3178547.9795313845,30.084084167075247,31.351928467860656,210.362363926135
G17,2024-05-06 18:25:02.599145+00:00,21143703.23819369,-13386728.332655251,9551223.035218664,21877493.670006804,50.3,4717233.153055938,2873981.766367298,3178547.9795313845,30.084084167075247,31.351928467860656,210.362363926135
G19,2024-05-06 18:25:02.599145+00:00,13790041.003809191,-15257450.816113953,16406132.218857164,22109583.075177684,50.8,4717233.153055938,2873981.766367298,3178547.9795313845,30.084084167075247,31.351928467860656,210.362363926135
G21,2024-05-06 18:25:02.599145+00:00,20953239.62503887,16838221.263993856,-3084412.967755906,20213615.78028161,52.1,4717233.153055938,2873981.766367298,3178547.9795313845,30.084084167075247,31.351928467860656,210.362363926135
G26,2024-05-06 18:25:02.599145+00:00,-4209730.103225037,25863035.830717724,2725150.1048362614,22567081.859047167,51.6,4717233.153055938,2873981.766367298,3178547.9795313845,30.084084167075247,31.351928467860656,210.362363926135
G28,2024-05-06 18:25:02.599145+00:00,-7056928.108362187,13640262.898321336,21657397.546287853,22314796.621133238,51.3,4717233.153055938,2873981.766367298,3178547.9795313845,30.084084167075247,31.351928467860656,210.362363926135
G31,2024-05-06 18:25:02.599145+00:00,2886469.9505879553,19119870.875357717,17819145.831435233,19847475.297574513,51.0,4717233.153055938,2873981.766367298,3178547.9795313845,30.084084167075247,31.351928467860656,210.362363926135
G02,2024-05-06 18:25:04.419145+00:00,22723680.795036152,13960550.888988419,2043427.3611179518,19077746.156745553,49.9,4717231.375277645,2873982.4223814635,3178546.7162608895,30.084079628268658,31.35194387316166,208.71077986992896
G03,2024-05-06 18:25:04.419145+00:00,12847640.071655601,8978278.845420688,21312006.943425603,18690658.329277903,49.8,4717231.375277645,2873982.4223814635,3178546.7162608895,30.084079628268658,31.35194387316166,208.71077986992896
G04,2024-05-06 18:25:04.419145+00:00,21728573.75031116,3618039.400524065,14955231.532428062,18604896.376608945,49.7,4717231.375277645,2873982.4223814635,3178546.7162608895,30.084079628268658,31.35194387316166,208.71077986992896
G06,2024-05-06 18:25:04.419145+00:00,4780210.561461488,-14614703.134537231,21700592.92418014,23375516.990517896,50.4,4717231.375277645,2873982.4223814635,3178546.7162608895,30.084079628268658,31.35194387316166,208.71077986992896
G09,2024-05-06 18:25:04.419145+00:00,25264034.39780817,-7268724.760571893,3904870.4854070204,20826903.545804016,49.7,4717231.375277645,2873982.4223814635,3178546.7162608895,30.084079628268658,31.35194387316166,208.71077986992896
G16,2024-05-06 18:25:04.419145+00:00,1692832.5617467817,24069434.422535323,-10910231.314271199,23531342.04788927,49.4,4717231.375277645,2873982.4223814635,3178546.7162608895,30.084079628268658,31.35194387316166,208.71077986992896
G17,2024-05-06 18:25:04.419145+00:00,21145810.24561159,-13386979.745027337,9546001.379989777,21877783.15902934,49.1,4717231.375277645,2873982.4223814635,3178546.7162608895,30.084079628268658,31.35194387316166,208.71077986992896
G19,2024-05-06 18:25:04.419145+00:00,13793885.598982763,-15258078.510141732,16402289.629455082,22109462.15680927,49.6,4717231.375277645,2873982.4223814635,3178546.7162608895,30.084079628268658,31.35194387316166,208.71077986992896
G21,2024-05-06 18:25:04.419145+00:00,20952384.666160572,16838069.388224654,-3090019.406239203,20214535.143824656,50.4,4717231.375277645,2873982.4223814635,3178546.7162608895,30.084079628268658,31.35194387316166,208.71077986992896
G26,2024-05-06 18:25:04.419145+00:00,-4210405.791118669,25862303.88812919,2730805.5798690654,22566600.89316838,49.7,4717231.375277645,2873982.4223814635,3178546.7162608895,30.084079628268658,31.35194387316166,208.71077986992896
G28,2024-05-06 18:25:04.419145+00:00,-7060933.982427755,13637253.443621974,21657986.184458483,22315908.13896841,49.9,4717231.375277645,2873982.4223814635,3178546.7162608895,30.084079628268658,31.35194387316166,208.71077986992896
G31,2024-05-06 18:25:04.419145+00:00,2883028.422259843,19117390.66468463,17822396.574059315,19848159.31999661,49.7,4717231.375277645,2873982.4223814635,3178546.7162608895,30.084079628268658,31.35194387316166,208.71077986992896
G02,2024-05-06 18:25:05.419145+00:00,22723711.790431354,13960856.395941367,2040269.4451506585,19078116.40875131,49.6,4717230.720499309,2873978.6528013744,3178546.57593909,30.08408992989898,31.351914015693062,206.45951008237898
