SatPRN,GPSTime,Sat.X,Sat.Y,Sat.Z,Pseudo-Range,CN0,Pos.X,Pos.Y,Pos.Z,Lat,Lon,Alt
G03,2024-04-13 16:51:38.417342+00:00,23186937.24185885,-12122042.15333005,4017522.810753316,24150295.354413908,42.4,4436875.160833207,3085279.1697089244,3376308.271294688,32.16878423359476,34.81367361654555,36.129035636782646
G08,2024-04-13 16:51:38.417342+00:00,24908506.65134796,4695624.204662176,8522321.99879082,21169796.818687413,48.0,4436875.160833207,3085279.1697089244,3376308.271294688,32.16878423359476,34.81367361654555,36.129035636782646
G10,2024-04-13 16:51:38.417342+00:00,-1333503.4494755473,17150740.95935104,20349811.50206375,22786669.81882553,39.7,4436875.160833207,3085279.1697089244,3376308.271294688,32.16878423359476,34.81367361654555,36.129035636782646
G21,2024-04-13 16:51:38.417342+00:00,15700544.23317017,1541625.9905167348,21912874.527986936,21745249.10289121,44.7,4436875.160833207,3085279.1697089244,3376308.271294688,32.16878423359476,34.81367361654555,36.129035636782646
G27,2024-04-13 16:51:38.417342+00:00,23150065.104609914,13293376.353816982,-2599284.0749783744,22138085.25822139,45.5,4436875.160833207,3085279.1697089244,3376308.271294688,32.16878423359476,34.81367361654555,36.129035636782646
G28,2024-04-13 16:51:38.417342+00:00,5199815.206101653,25759920.634232134,-3879236.310747346,23819369.661459766,36.2,4436875.160833207,3085279.1697089244,3376308.271294688,32.16878423359476,34.81367361654555,36.129035636782646
G32,2024-04-13 16:51:38.417342+00:00,8090327.804100423,17963023.435395673,18117533.797867578,21260224.95155386,45.5,4436875.160833207,3085279.1697089244,3376308.271294688,32.16878423359476,34.81367361654555,36.129035636782646
G02,2024-04-13 16:51:39.417343+00:00,14574498.545457968,-5231618.288668992,22041315.06378919,22810542.836758677,45.2,4436875.664475392,3085277.6070565423,3376310.283272315,32.168801890114985,34.813656965894474,36.79509193729609
G03,2024-04-13 16:51:39.417343+00:00,23186615.124430116,-12121569.086107343,4020702.7406366724,24149790.840092044,44.0,4436875.664475392,3085277.6070565423,3376310.283272315,32.168801890114985,34.813656965894474,36.79509193729609
G08,2024-04-13 16:51:39.417343+00:00,24909391.392888926,4696300.717640739,8519441.783958217,21169965.324942727,49.5,4436875.664475392,3085277.6070565423,3376310.283272315,32.168801890114985,34.813656965894474,36.79509193729609
G10,2024-04-13 16:51:39.417343+00:00,-1335672.3163383221,17152068.33766805,20348506.528011203,22787023.847547904,41.6,4436875.664475392,3085277.6070565423,3376310.283272315,32.168801890114985,34.813656965894474,36.79509193729609
G21,2024-04-13 16:51:39.417343+00:00,15700962.263950534,1544258.231876301,21912478.91326452,21744902.855193663,46.2,4436875.664475392,3085277.6070565423,3376310.283272315,32.168801890114985,34.813656965894474,36.79509193729609
G27,2024-04-13 16:51:39.417343+00:00,23149699.61563187,13293461.2677961,-2602413.0375993433,22138619.199302144,47.0,4436875.664475392,3085277.6070565423,3376310.283272315,32.168801890114985,34.813656965894474,36.79509193729609
G28,2024-04-13 16:51:39.417343+00:00,5199588.773461336,25760435.309039477,-3876109.959374171,23818867.195357196,39.1,4436875.664475392,3085277.6070565423,3376310.283272315,32.168801890114985,34.813656965894474,36.79509193729609
G32,2024-04-13 16:51:39.417343+00:00,8088240.102113026,17962170.39042043,18119312.751398697,21260463.87979882,48.2,4436875.664475392,3085277.6070565423,3376310.283272315,32.168801890114985,34.813656965894474,36.79509193729609
G02,2024-04-13 16:51:40.417343+00:00,14574929.489515733,-5228968.472478466,22041693.865486316,22810034.095053393,45.2,4436878.557056938,3085278.5391810285,3376315.6346878824,32.16882878284916,34.813647571140024,42.10504921153188
G03,2024-04-13 16:51:40.417343+00:00,23186292.701009493,-12121095.775843112,4023882.5840335344,24149292.293744653,44.2,4436878.557056938,3085278.5391810285,3376315.6346878824,32.16882878284916,34.813647571140024,42.10504921153188
G08,2024-04-13 16:51:40.417343+00:00,24910275.84630359,4696977.028680667,8516561.391530413,21170135.92522417,49.4,4436878.557056938,3085278.5391810285,3376315.6346878824,32.16882878284916,34.813647571140024,42.10504921153188
G10,2024-04-13 16:51:40.417343+00:00,-1337840.9685186045,17153395.762163736,20347201.125297274,22787386.00807174,41.1,4436878.557056938,3085278.5391810285,3376315.6346878824,32.16882878284916,34.813647571140024,42.10504921153188
G21,2024-04-13 16:51:40.417343+00:00,15701380.444264522,1546890.389256036,21912082.854851656,21744550.8838247,45.8,4436878.557056938,3085278.5391810285,3376315.6346878824,32.16882878284916,34.813647571140024,42.10504921153188
G27,2024-04-13 16:51:40.417343+00:00,23149333.78386732,13293546.03115136,-2605541.9464024855,22139157.014331233,46.8,4436878.557056938,3085278.5391810285,3376315.6346878824,32.16882878284916,34.813647571140024,42.10504921153188
G28,2024-04-13 16:51:40.417343+00:00,5199362.332925703,25760949.606044196,-3872983.5255040573,23818359.668691482,39.9,4436878.557056938,3085278.5391810285,3376315.6346878824,32.16882878284916,34.813647571140024,42.10504921153188
G32,2024-04-13 16:51:40.417343+00:00,8086152.150592797,17961317.37207675,18121091.32823326,21260701.307325054,47.5,4436878.557056938,3085278.5391810285,3376315.6346878824,32.16882878284916,34.813647571140024,42.10504921153188
G02,2024-04-13 16:51:41.417343+00:00,14575360.600359458,-5226318.640409272,22042072.21768556,22809532.82204131,45.3,4436867.9872242045,3085276.475023743,3376308.9993831115,32.168825455591524,34.81369358165829,30.22891031205654
G03,2024-04-13 16:51:41.417343+00:00,23185969.971626576,-12120622.222485622,4027062.340973859,24148790.431855887,44.1,4436867.9872242045,3085276.475023743,3376308.9993831115,32.168825455591524,34.81369358165829,30.22891031205654
G08,2024-04-13 16:51:41.417343+00:00,24911160.01156343,4697653.137824295,8513680.82152469,21170304.11737556,49.4,4436867.9872242045,3085276.475023743,3376308.9993831115,32.168825455591524,34.81369358165829,30.22891031205654
G10,2024-04-13 16:51:41.417343+00:00,-1340009.4061253602,17154723.232876316,20345895.293857537,22787735.56953837,35.7,4436867.9872242045,3085276.475023743,3376308.9993831115,32.168825455591524,34.81369358165829,30.22891031205654
G21,2024-04-13 16:51:41.417343+00:00,15701798.774070607,1549522.4624343296,21911686.352784134,21744211.511512946,45.8,4436867.9872242045,3085276.475023743,3376308.9993831115,32.168825455591524,34.81369358165829,30.22891031205654
G27,2024-04-13 16:51:41.417343+00:00,23148967.609296795,13293630.643933553,-2608670.8013634095,22139694.86426076,46.5,4436867.9872242045,3085276.475023743,3376308.9993831115,32.168825455591524,34.81369358165829,30.22891031205654
G28,2024-04-13 16:51:41.417343+00:00,5199135.884442097,25761463.52524182,-3869857.009187088,23817845.510943025,37.6,4436867.9872242045,3085276.475023743,3376308.9993831115,32.168825455591524,34.81369358165829,30.22891031205654
G32,2024-04-13 16:51:41.417343+00:00,8084063.949624278,17960464.380433835,18122869.528293356,21260944.14441879,46.9,4436867.9872242045,3085276.475023743,3376308.9993831115,32.168825455591524,34.81369358165829,30.22891031205654
G02,2024-04-13 16:51:42.417343+00:00,14575791.878002692,-5223668.792423091,22042450.12039534,22809027.3958774,44.7,4435534.449762045,3085119.3143055737,3376447.185364515,32.17556859059148,34.820398809001496,-898.8470316976309
G03,2024-04-13 16:51:42.417343+00:00,23185646.936322033,-12120148.425998015,4030242.011382488,24148285.882633597,43.8,4435534.449762045,3085119.3143055737,3376447.185364515,32.17556859059148,34.820398809001496,-898.8470316976309
G08,2024-04-13 16:51:42.417343+00:00,24912043.888616234,4698329.0450947825,8510800.074036134,21170473.496141758,49.4,4435534.449762045,3085119.3143055737,3376447.185364515,32.17556859059148,34.820398809001496,-898.8470316976309
G10,2024-04-13 16:51:42.417343+00:00,-1342177.645927108,17156050.76004467,20344589.02358868,22785748.232745726,29.1,4435534.449762045,3085119.3143055737,3376447.185364515,32.17556859059148,34.820398809001496,-898.8470316976309
G21,2024-04-13 16:51:42.417343+00:00,15702217.253380438,1552154.4515242227,21911289.407047406,21743864.949711476,45.9,4435534.449762045,3085119.3143055737,3376447.185364515,32.17556859059148,34.820398809001496,-898.8470316976309
G27,2024-04-13 16:51:42.417343+00:00,23148601.09190798,13293715.106191846,-2611799.602396517,22140234.773315977,45.7,4435534.449762045,3085119.3143055737,3376447.185364515,32.17556859059148,34.820398809001496,-898.8470316976309
G28,2024-04-13 16:51:42.417343+00:00,5198909.427975825,25761977.066587083,-3866730.4107216205,23817346.95368923,37.7,4435534.449762045,3085119.3143055737,3376447.185364515,32.17556859059148,34.820398809001496,-898.8470316976309
G32,2024-04-13 16:51:42.417343+00:00,8081975.49919523,17959611.41552181,18124647.351583056,21261185.4807938,48.1,4435534.449762045,3085119.3143055737,3376447.185364515,32.17556859059148,34.820398809001496,-898.8470316976309
G02,2024-04-13 16:51:43.417343+00:00,14576223.322428405,-5221018.928669001,22042827.57359735,22808527.344380558,44.9,4435537.815098695,3085124.9871807,3376449.585463613,32.1755580861955,34.82042781761694,-892.4887223606929
G03,2024-04-13 16:51:43.417343+00:00,23185323.595146205,-12119674.38635869,4033421.595086155,24147788.52290101,43.9,4435537.815098695,3085124.9871807,3376449.585463613,32.1755580861955,34.82042781761694,-892.4887223606929
G08,2024-04-13 16:51:43.417343+00:00,24912927.477430686,4699004.750532467,8507919.149091106,21170640.501678344,49.2,4435537.815098695,3085124.9871807,3376449.585463613,32.1755580861955,34.82042781761694,-892.4887223606929
G10,2024-04-13 16:51:43.417343+00:00,-1344345.6540238569,17157378.322884575,20343282.33491527,22786105.57700947,27.7,4435537.815098695,3085124.9871807,3376449.585463613,32.1755580861955,34.82042781761694,-892.4887223606929
G21,2024-04-13 16:51:43.417343+00:00,15702635.882170135,1554786.3564146343,21910892.01766058,21743516.88719129,46.0,4435537.815098695,3085124.9871807,3376449.585463613,32.1755580861955,34.82042781761694,-892.4887223606929
G27,2024-04-13 16:51:43.417343+00:00,23148234.23167975,13293799.417977173,-2614928.349493065,22140771.401730258,45.3,4435537.815098695,3085124.9871807,3376449.585463613,32.1755580861955,34.82042781761694,-892.4887223606929
G28,2024-04-13 16:51:43.417343+00:00,5198682.963454504,25762490.230120175,-3863603.7298862385,23816836.390685625,37.2,4435537.815098695,3085124.9871807,3376449.585463613,32.1755580861955,34.82042781761694,-892.4887223606929
G32,2024-04-13 16:51:43.417343+00:00,8079886.799325444,17958758.47738328,18126424.7980797,21261422.908320036,47.6,4435537.815098695,3085124.9871807,3376449.585463613,32.1755580861955,34.82042781761694,-892.4887223606929
G02,2024-04-13 16:51:44.417343+00:00,14576654.933642874,-5218369.049153188,22043204.57729366,22808026.071368467,45.9,4435544.45050235,3085129.804826716,3376453.0455500437,32.17554512572486,34.82042957974941,-883.7070389157161
G03,2024-04-13 16:51:44.417343+00:00,23184999.948129855,-12119200.103517031,4036601.092105198,24147289.976553615,44.7,4435544.45050235,3085129.804826716,3376453.0455500437,32.17554512572486,34.82042957974941,-883.7070389157161
G08,2024-04-13 16:51:44.417343+00:00,24913810.777943235,4699680.2541519655,8505038.046821602,21170812.567778073,49.8,4435544.45050235,3085129.804826716,3376453.0455500437,32.17554512572486,34.82042957974941,-883.7070389157161
G10,2024-04-13 16:51:44.417343+00:00,-1346513.4473026274,17158705.93170608,20341975.217667002,22786467.1442259,29.4,4435544.45050235,3085129.804826716,3376453.0455500437,32.17554512572486,34.82042957974941,-883.7070389157161
G21,2024-04-13 16:51:44.417343+00:00,15703054.660419486,1557418.1770187374,21910494.18463924,21743170.325389825,46.8,4435544.45050235,3085129.804826716,3376453.0455500437,32.17554512572486,34.82042957974941,-883.7070389157161
G27,2024-04-13 16:51:44.417343+00:00,23147867.028596476,13293883.57933958,-2618057.0425951243,22141304.12129577,45.9,4435544.45050235,3085129.804826716,3376453.0455500437,32.17554512572486,34.82042957974941,-883.7070389157161
G28,2024-04-13 16:51:44.417343+00:00,5198456.490840805,25763003.015802093,-3860476.966941404,23816332.42386433,37.7,4435544.45050235,3085129.804826716,3376453.0455500437,32.17554512572486,34.82042957974941,-883.7070389157161
G32,2024-04-13 16:51:44.417343+00:00,8077797.850069861,17957905.566075724,18128201.867730264,21261659.149231467,47.6,4435544.45050235,3085129.804826716,3376453.0455500437,32.17554512572486,34.82042957974941,-883.7070389157161
G02,2024-04-13 16:51:45.417344+00:00,14577086.711649247,-5215719.153900997,22043581.13148357,22807519.144485835,45.1,4435535.900374289,3085126.0057354076,3376448.2444404997,32.17555260495674,34.820448279006804,-894.0410335939378
G03,2024-04-13 16:51:45.417344+00:00,23184675.99530537,-12118725.577424608,4039780.502444403,24146783.333305195,44.7,4435535.900374289,3085126.0057354076,3376448.2444404997,32.17555260495674,34.820448279006804,-894.0410335939378
G08,2024-04-13 16:51:45.417344+00:00,24914693.790139288,4700355.556006353,8502156.767199595,21170980.48072598,49.7,4435535.900374289,3085126.0057354076,3376448.2444404997,32.17555260495674,34.820448279006804,-894.0410335939378
G10,2024-04-13 16:51:45.417344+00:00,-1348681.0258094454,17160033.586508907,20340667.671817273,22786820.89374479,27.4,4435535.900374289,3085126.0057354076,3376448.2444404997,32.17555260495674,34.820448279006804,-894.0410335939378
G21,2024-04-13 16:51:45.417344+00:00,15703473.588115444,1560049.913293832,21910095.90799224,21742823.170280956,46.4,4435535.900374289,3085126.0057354076,3376448.2444404997,32.17555260495674,34.820448279006804,-894.0410335939378
G27,2024-04-13 16:51:45.417344+00:00,23147499.482653543,13293967.59032621,-2621185.681553402,22141841.06381397,45.8,4435535.900374289,3085126.0057354076,3376448.2444404997,32.17555260495674,34.820448279006804,-894.0410335939378
G28,2024-04-13 16:51:45.417344+00:00,5198230.0100684,25763515.423658565,-3857350.1217538,23815815.892886262,37.0,4435535.900374289,3085126.0057354076,3376448.2444404997,32.17555260495674,34.820448279006804,-894.0410335939378
G32,2024-04-13 16:51:45.417344+00:00,8075708.651477274,17957052.68165374,18129978.560487267,21261895.9834503,46.4,4435535.900374289,3085126.0057354076,3376448.2444404997,32.17555260495674,34.820448279006804,-894.0410335939378
G02,2024-04-13 16:51:46.417344+00:00,14577518.656424467,-5213069.243098345,22043957.236143615,22807020.279603794,43.6,4436890.583418617,3085280.9469265705,3376319.2490023165,32.1688023660437,34.813595735389704,53.550571639090776
G03,2024-04-13 16:51:46.417344+00:00,23184351.73672492,-12118250.808062037,4042959.8259142376,24146280.00559814,42.6,4436890.583418617,3085280.9469265705,3376319.2490023165,32.1688023660437,34.813595735389704,53.550571639090776
