SatPRN,GPSTime,Sat.X,Sat.Y,Sat.Z,Pseudo-Range,CN0,Pos.X,Pos.Y,Pos.Z,Lat,Lon,Alt
G28,2024-04-13 16:52:20.418698+00:00,5190297.342903983,25781212.273909174,-3747855.105153496,23799715.255928084,38.3,4436885.833662581,3085286.083532789,3376328.152297504,32.16887497242394,34.81366919670884,57.47221267223358
G32,2024-04-13 16:52:20.418698+00:00,8002427.067206242,17927217.899219863,18191927.459506016,21271987.78860179,43.1,4436885.833662581,3085286.083532789,3376328.152297504,32.16887497242394,34.81366919670884,57.47221267223358
G02,2024-04-13 16:52:21.418698+00:00,14592742.360147364,-5120309.446315745,22056838.140255928,22791087.775298174,46.7,4436888.101357079,3085286.083426327,3376328.112023595,32.16886572625074,34.81365546971685,59.02670585736632
G03,2024-04-13 16:52:21.418698+00:00,23172809.915852107,-12101479.674731452,4154185.1962405485,24130409.08114038,45.3,4436888.101357079,3085286.083426327,3376328.112023595,32.16886572625074,34.81365546971685,59.02670585736632
G08,2024-04-13 16:52:21.418698+00:00,24946291.02859182,4724533.211462991,8398309.225013707,21178815.07609189,51.1,4436888.101357079,3085286.083426327,3376328.112023595,32.16886572625074,34.81365546971685,59.02670585736632
G10,2024-04-13 16:52:21.418698+00:00,-1426573.3289631158,17207861.090288807,20293309.039628055,22803734.121658135,37.3,4436888.101357079,3085286.083426327,3376328.112023595,32.16886572625074,34.81365546971685,59.02670585736632
G21,2024-04-13 16:52:21.418698+00:00,15718654.952934412,1654739.2874807492,21895462.033861294,21732065.303268835,46.9,4436888.101357079,3085286.083426327,3376328.112023595,32.16886572625074,34.81365546971685,59.02670585736632
G27,2024-04-13 16:52:21.418698+00:00,23134038.844766606,13296892.361541457,-2733784.330090749,22162866.562325213,42.1,4436888.101357079,3085286.083426327,3376328.112023595,32.16886572625074,34.81365546971685,59.02670585736632
G28,2024-04-13 16:52:21.418698+00:00,5190070.5344691,25781711.074079,-3744725.34857729,23799241.303481303,38.6,4436888.101357079,3085286.083426327,3376328.112023595,32.16886572625074,34.81365546971685,59.02670585736632
G32,2024-04-13 16:52:21.418698+00:00,8000328.91648469,17926366.015748844,18193690.55899021,21272260.6051696,44.0,4436888.101357079,3085286.083426327,3376328.112023595,32.16886572625074,34.81365546971685,59.02670585736632
G02,2024-04-13 16:52:22.418698+00:00,14593180.306921367,-5117659.01636445,22057198.057482753,22790615.29514536,44.2,4436905.013344217,3085290.2075800733,3376337.888311271,32.168862383237496,34.81358900259627,77.9782041925937
G03,2024-04-13 16:52:22.418698+00:00,23172474.67616816,-12100996.12236966,4157361.3475679797,24129942.01498579,46.7,4436905.013344217,3085290.2075800733,3376337.888311271,32.168862383237496,34.81358900259627,77.9782041925937
G08,2024-04-13 16:52:22.418698+00:00,24947163.34290964,4725201.069772164,8395421.427506812,21179015.341743484,43.2,4436905.013344217,3085290.2075800733,3376337.888311271,32.168862383237496,34.81358900259627,77.9782041925937
G10,2024-04-13 16:52:22.418698+00:00,-1428732.929511982,17209190.407223888,20291985.654706735,22804133.451145757,40.6,4436905.013344217,3085290.2075800733,3376337.888311271,32.168862383237496,34.81358900259627,77.9782041925937
G21,2024-04-13 16:52:22.418698+00:00,15719079.398937466,1657367.860305056,21895047.350778345,21731746.626915317,38.8,4436905.013344217,3085290.2075800733,3376337.888311271,32.168862383237496,34.81358900259627,77.9782041925937
